property_id,property_name,host_id,neighbourhood_group,room_type,price,min_nights
20119053,Spacious and cosy apartment. Legal.,40717425,Mitte,Entire home/apt,100,3
20121585,Room with a view and balcony at the canals,4223655,Neukölln,Private room,23,2
20122296,Nice room in the heart of Friedrichshain,119448129,Friedrichshain-Kreuzberg,Private room,50,5
20123845,Gorgeous 6-room penthouse in Berlin-Nikolassee,3613340,Steglitz - Zehlendorf,Entire home/apt,110,3
20123963,"Bright, cozy room at Helmholzplatz, Prenzlauerberg",8295711,Pankow,Private room,39,2
20127301,"3-room-apartment with balcony, close to Ostkreuz",1240004,Friedrichshain-Kreuzberg,Entire home/apt,40,90
20129428,Zimmer in Berlin Prenzlberg für entspannte Tage,21118728,Pankow,Private room,35,1
20130098,Big private room with a balcony in Schöneberg,100741497,Tempelhof - Schöneberg,Private room,50,3
20131553,cosy room in the heart of Berlin,82710409,Pankow,Private room,35,2
20131615,Cozy and stylish room for your time in Berlin,3218556,Pankow,Private room,36,2
20131907,Sightseeing und Erholung am Badesee!,115504400,Pankow,Private room,30,3
20132134,"Stunning 3 bedroom Berlin ""Altbau"" Apartment",1617667,Charlottenburg-Wilm.,Entire home/apt,67,180
20132686,cosy apartment in box hagener platz,29515318,Friedrichshain-Kreuzberg,Entire home/apt,105,10
20133375,Prenzlauer Berg am Falkplatz/Mauerpark/Schönhauser,91888620,Pankow,Entire home/apt,44,3
20134341,BERLIN - close to Ku'Damm - premium apartment,139826816,Charlottenburg-Wilm.,Entire home/apt,100,1
20135199,Central quiet and cozy room in shared apartment,143133779,Pankow,Private room,18,3
20135652,Lovely Room in Kreuzberg - Bergmannkiez,64308926,Friedrichshain-Kreuzberg,Private room,40,3
20136114,wonderfull room for two in our shared apartment,36158287,Mitte,Private room,40,3
20137896,Zimmer mit Terrasse im schönen Kaskelkiez,39911811,Lichtenberg,Private room,30,4
20138119,Little Cottage mit Garten in den Annenhöfen,66875618,Mitte,Entire home/apt,90,2
20140458,Modern and Cozy Apartment in Central Moabit,3087613,Mitte,Entire home/apt,70,5
20142439,"Discover Berlin from This Charming, Bright Apt.",101058080,Mitte,Entire home/apt,79,2
20143474,cozy 50sqm appartement in Neukölln,143281177,Neukölln,Entire home/apt,55,2
20144167,Comfortable small room in Neukölln,18162091,Neukölln,Private room,35,1
20146039,Fresh double room in the heart of Berlin-Kreuzberg,142453324,Friedrichshain-Kreuzberg,Private room,25,2
20146083,Wunderschöne Altbauwohnung am Prenzlauer Berg,11804788,Pankow,Entire home/apt,148,2
20146466,colorful retro flat in the heart of Berlin,41851054,Friedrichshain-Kreuzberg,Private room,25,3
20146572,lovely room in shared flat,38539017,Friedrichshain-Kreuzberg,Private room,27,30
20146597,Beautiful  big room in the heart of Berlin,121172492,Friedrichshain-Kreuzberg,Private room,47,2
20146742,"2 rooms, calm, Berlin-Lichtenberg",2866107,Lichtenberg,Private room,30,1
20147743,Nice & big room in an apartment near to the center,40626548,Mitte,Private room,20,3
20147927,family-friendly 100qm 3rooms flat Prenzlauer Berg,56900314,Pankow,Private room,70,3
20147969,Central And Big Room With A Balcony,139118373,Mitte,Private room,20,2
20148449,"VERY Bright, Central, Large, Comfy. Full Kitchen!",1322237,Pankow,Private room,34,2
20148901,Great 2-room apartment in the heart of Kreuzberg,26799798,Friedrichshain-Kreuzberg,Entire home/apt,60,2
20149897,"Apartment Linienstraße, Berlin Mitte",34032423,Mitte,Entire home/apt,50,30
20150381,Luminous big room in Mitte/Prenz. With garden!,132826395,Mitte,Private room,42,3
20152203,Appartment in the center with balcony!,17569907,Pankow,Entire home/apt,50,1
20152505,Lovely room in super-central area on Torstraße,5510710,Mitte,Private room,65,3
20152963,Charming Flat in central Berlin,18754856,Pankow,Entire home/apt,80,5
20156721,"Cosy 60 m2 Apartment in Neukölln, Berlin",22226709,Neukölln,Private room,39,3
20157892,Beautiful room in a spacious 4-room flat,39237303,Friedrichshain-Kreuzberg,Private room,35,2
20157951,Big Family House - Whirpool and Garden,8186558,Pankow,Entire home/apt,120,3
20157960,Großes  legales Apartment für 10 Personen in Mitte,40717425,Mitte,Entire home/apt,257,3
20158043,"Beautiful, quiet & stylish flat in F-hain",47378753,Friedrichshain-Kreuzberg,Entire home/apt,126,3
20158917,room in apartment with shared bathroom and terrace,119644634,Lichtenberg,Private room,25,3
20159078,helles Zimmer am Mauerpark,143456207,Pankow,Private room,39,3
20159199,"Charming, cozy room in the middle of Bergmannkiez",143457156,Friedrichshain-Kreuzberg,Private room,29,2
20159523,Helle 1 Raum-Wohnung mit Balkon im Wedding,143459950,Mitte,Entire home/apt,29,4
20160432,Cosy Apartment   in heart of Kreuzberg,143460888,Friedrichshain-Kreuzberg,Entire home/apt,80,4
20161310,Hip flat in the center of town!,110941534,Mitte,Private room,25,4
20162643,central yet cozy bedroom in student-apartment,143485485,Friedrichshain-Kreuzberg,Private room,25,7
20162792,"Quiet perfect attic studio top location, terrace",105303820,Charlottenburg-Wilm.,Entire home/apt,67,5
20163859,Hipster Apartment in the middle of Kreuzberg,45606243,Friedrichshain-Kreuzberg,Entire home/apt,100,2
20164939,Artist Apt in the heart of Kreuzberg,1719111,Friedrichshain-Kreuzberg,Entire home/apt,80,7
20165145,Large and bright room in Neukölln,49150822,Neukölln,Private room,40,1
20166459,room,143337998,Reinickendorf,Private room,22,2
20167241,"Heart of Berlin flat, charming, light and open :)",78361426,Mitte,Private room,50,2
20167303,Sunny Room in strategic location,24620790,Charlottenburg-Wilm.,Private room,30,3
20167453,Modern loft with roof terrace in Berlin Mitte,63998242,Friedrichshain-Kreuzberg,Entire home/apt,95,1
20167871,Lovely bright & artistic apartment in Neukoelln,10967924,Neukölln,Entire home/apt,37,2
20168268,Unwind in central Kreuzberg,34118101,Friedrichshain-Kreuzberg,Private room,42,2
20169998,"Große Altbauwohnung, 20min bis Alexanderplatz",143557476,Lichtenberg,Entire home/apt,45,2
